ID,標籤,主旨,主分類,次分類,檔案名稱,類型,路徑,啟用,負責人,創建日期,最後更新人,最後更新日期
fe24e6bb-1d73-4500-9a44-b5a240c7abc8, ,檢驗紀錄送審通知單,BPM,操作手冊,BPM_操作手冊_Q0005_檢驗紀錄送審通知單_V0.0.1.mht,html,http://sai-wsus12/faq/BPM/BPM_操作手冊_Q0005_檢驗紀錄送審通知單_V0.0.1.mht,Y,SystemTransfert,2017/08/21,SystemTransfert,2017/08/21
0bb8aff5-8f2a-4840-bbea-7826cb4f6d21, ,派車／出廠單,BPM,操作手冊,BPM_派車／出廠單.mht,html,http://sai-wsus12/faq/BPM/BPM_派車／出廠單.mht,Y,SystemTransfert,2018/06/26,SystemTransfert,2018/06/26
f318eaac-398c-4f77-9a28-7bc560190523, ,門禁權限申請單,BPM,操作手冊,BPM_操作手冊_門禁權限申請單_V1.0.0.mht,html,http://sai-wsus12/faq/BPM/BPM_操作手冊_門禁權限申請單_V1.0.0.mht,Y,SystemTransfert,2018/07/24,SystemTransfert,2018/07/24
36335935-23de-4d56-bc25-e412c46e0676, ,年假時數申請單,BPM,操作手冊,BPM_操作手冊_年假時數申請單_V2.0.0.mht,html,http://sai-wsus12/faq/BPM/BPM_操作手冊_年假時數申請單_V2.0.0.mht,Y,SystemTransfert,2018/09/17,SystemTransfert,2018/09/17
5bf57722-a61f-4e22-871a-ab27724642d0, ,用印申請單,BPM,操作手冊,BPM_A0011_用印申請單.mht,html,http://sai-wsus12/faq/BPM/BPM_A0011_用印申請單.mht,Y,SystemTransfert,2018/10/02,SystemTransfert,2018/10/02
9c3453c4-4dd4-4439-b631-19a788711a00, ,UPLOAD_TEST_3_04:02:34,BPM,FAQ,20180917A.txt,file,http://192.168.1.39:80/uploads/BPM/FAQ/20180917A.txt,N,h7925,2018/11/28,h7925,2018/11/28
f4d7877f-9858-429a-9ad8-f6c90b887e6f, ,UPLOAD_TEST_0,資訊安全,測試分類,180921.txt,file,http://localhost:49743/uploads/資訊安全/測試分類/180925.txt,N,h7925,2018/11/27,h7925,2018/11/27
7d8abda3-1242-448a-9f5c-c36567fb510f, ,UPLOAD_TEST_1_11:58:40,資訊安全,測試分類,20181128.txt,file,http://192.168.1.39:80/KM/uploads/資訊安全/測試分類/20181128.txt,N,h7925,2018/11/27,h7925,2018/11/28
37144da4-63d5-452a-8d46-b24da5d6631b, ,UPLOAD_TEST_2_01:57:01,資訊安全,測試分類,sql181017_PLM.txt,file,http://localhost:49743/uploads/資訊安全/測試分類/sql181017_PLM.txt,N,h7925,2018/11/28,h7925,2018/11/29
e1ed333b-4b2a-4cc6-9613-378a9577cfd1,測試,UPLOAD_TEST_3,資訊安全,測試分類,20180917A.txt,file,http://192.168.1.39:80/KM/uploads/資訊安全/測試分類/20180917A.txt,N,h7925,2018/11/28,h7925,2018/11/29
